Rk,Name,Age,Tm,IP,PAu,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,BA,OBP,SLG,OPS,BAbip,TB,GDP,HBP,SH,SF,IBB,ROE
133,carpery01,27,DET,22.1,,6,107,98,19,34,5,0,8,1,1,4,15,0.347,0.383,0.643,1.026,0.338,63,1,3,0,2,0,2
134,carraca01,31,CLE,192,,32,784,726,78,173,31,6,21,15,4,43,231,0.238,0.285,0.384,0.669,0.317,279,11,6,4,5,4,8
135,carroco01,25,BAL,17,,15,84,71,17,21,2,0,6,2,0,13,16,0.296,0.405,0.577,0.982,0.306,41,2,0,0,0,0,1
136,cashnan01,31,BAL,153,,28,681,609,97,177,44,3,25,6,7,65,99,0.291,0.36,0.496,0.856,0.311,302,13,3,1,3,3,6
137,garcija01,37,OAK,31.1,,26,132,106,11,18,6,0,0,8,1,20,22,0.17,0.318,0.226,0.545,0.209,24,3,4,0,2,0,0
138,castidi01,24,TBR,56.2,,43,222,202,21,36,7,0,6,1,2,18,65,0.178,0.252,0.302,0.554,0.229,61,1,2,0,0,0,0
139,castijo03,22,SDP,38.1,,37,150,135,14,23,4,0,3,3,1,12,52,0.17,0.253,0.267,0.52,0.25,36,0,3,0,0,1,1
140,castilu02,25,CIN,169.2,,31,708,645,89,158,36,0,28,4,1,49,165,0.245,0.301,0.431,0.732,0.284,278,13,5,3,6,1,7
141,castrmi01,23,BAL,86.1,,63,376,318,41,75,13,1,9,8,3,50,57,0.236,0.346,0.368,0.714,0.259,117,13,5,0,3,7,6
142,cecilbr01,31,STL,32.2,,40,157,129,27,39,6,2,5,7,1,25,19,0.302,0.408,0.496,0.904,0.315,64,3,0,0,3,5,2
143,cedenxa01,31,TOT,33.1,,48,140,124,10,26,5,1,1,0,0,16,34,0.21,0.3,0.29,0.59,0.281,36,3,0,0,0,1,2
144,cedenxa01,31,CHW,25.1,,33,106,93,9,19,5,1,1,0,0,13,28,0.204,0.302,0.312,0.614,0.281,29,3,0,0,0,1,2
145,cedenxa01,31,MIL,8,,15,34,31,1,7,0,0,0,0,0,3,6,0.226,0.294,0.226,0.52,0.28,7,0,0,0,0,0,0
146,cessalu01,26,NYY,44.2,,16,195,181,27,51,12,0,5,0,0,13,39,0.282,0.33,0.431,0.761,0.336,78,3,0,1,0,0,0
147,chacijh01,30,MIL,192.2,,35,796,697,83,153,32,5,18,8,5,71,156,0.22,0.298,0.357,0.655,0.254,249,12,11,8,9,3,9
