yearID,Name,teamID,IP,PAu,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,BA,OBP,SLG,OPS,BAbip,TB,GDP,HBP,SH,SF,IBB,ROE
2017,feddeer01,WSN,15.1,,3,76,65,16,25,2,0,5,2,0,8,15,0.385,0.459,0.646,1.106,0.444,42,4,1,2,0,2,0
2017,feldmsc01,CIN,111.1,,21,472,424,62,116,20,3,21,13,5,35,93,0.274,0.337,0.483,0.82,0.305,205,13,6,6,1,2,4
2017,felizmi01,HOU,48,,46,218,192,31,53,17,2,8,2,0,22,70,0.276,0.344,0.51,0.854,0.381,98,2,0,0,4,1,2
2017,felizne01,TOT,46,,49,196,171,33,40,11,1,9,2,0,23,37,0.234,0.327,0.468,0.794,0.246,80,7,1,0,1,2,1
2017,felizne01,MIL,27,,29,115,99,22,23,4,1,8,1,0,15,21,0.232,0.33,0.535,0.866,0.211,53,5,0,0,1,2,1
2017,felizne01,KCR,19,,20,81,72,11,17,7,0,1,1,0,8,16,0.236,0.321,0.375,0.696,0.291,27,2,1,0,0,0,0
2017,ferreje01,DET,9.1,,11,49,43,7,17,3,0,2,2,0,5,6,0.395,0.449,0.605,1.054,0.417,26,0,0,0,1,1,0
2017,fieldjo03,LAD,57,,57,223,206,19,40,8,0,10,0,3,15,60,0.194,0.251,0.379,0.63,0.219,78,3,1,0,1,1,3
2017,fienca01,TOT,12,,10,62,55,17,23,5,0,5,1,1,6,10,0.418,0.475,0.782,1.257,0.45,43,1,0,1,0,2,0
2017,fienca01,SEA,6,,6,29,25,10,9,2,0,3,1,1,4,6,0.36,0.448,0.8,1.248,0.375,20,1,0,0,0,0,0
2017,fienca01,PHI,6,,4,33,30,7,14,3,0,2,0,0,2,4,0.467,0.5,0.767,1.267,0.5,23,0,0,1,0,2,0
2017,fiersmi01,HOU,153.1,,29,671,591,95,157,24,3,32,18,2,62,146,0.266,0.348,0.479,0.827,0.302,283,16,13,3,1,0,6
2017,finnebr01,CIN,13,,4,59,46,6,9,2,0,1,1,0,13,16,0.196,0.373,0.304,0.677,0.276,14,1,0,0,0,0,0
2017,fistedo01,BOS,90.1,,18,392,343,55,87,18,2,9,0,1,38,83,0.254,0.329,0.397,0.726,0.305,136,5,3,3,5,3,3
2017,flaheja01,STL,21.1,,6,94,81,15,23,2,1,4,0,1,10,20,0.284,0.362,0.481,0.843,0.322,39,3,1,0,2,1,0
2017,flexech01,NYM,48,,14,233,193,44,62,12,0,11,4,1,35,36,0.321,0.427,0.554,0.981,0.345,107,6,2,1,2,0,1
2017,florody01,CHC,9.2,,3,45,42,7,15,3,0,2,0,0,2,6,0.357,0.4,0.571,0.971,0.382,24,1,1,0,0,0,0
2017,flynnbr01,KCR,2.1,,1,8,8,1,3,0,2,0,0,0,0,0,0.375,0.375,0.875,1.25,0.375,7,1,0,0,0,0,0
2017,foltymi01,ATL,154,,29,692,610,86,169,37,3,20,7,3,59,143,0.277,0.349,0.446,0.795,0.332,272,8,10,11,2,2,5
2017,fontwi01,LAD,3.2,,3,22,18,7,7,3,0,2,0,0,4,3,0.389,0.5,0.889,1.389,0.385,16,0,0,0,0,0,0
2017,frankse01,CHC,2,,1,9,9,2,4,0,0,1,0,0,0,2,0.444,0.444,0.778,1.222,0.5,7,0,0,0,0,0,0
